variant,count
"('committed', 'committed', 'committed', 'created', 'commented', 'committed', 'commented', 'merged', 'closed', 'head_ref_deleted', 'commented', 'mentioned', 'subscribed', 'commented', 'cross_referenced', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'created', 'commented', 'committed', 'committed', 'ready_for_review', 'reviewed', 'cross_referenced', 'commented', 'mentioned', 'subscribed', 'commented', 'mentioned', 'subscribed', 'committed', 'commented', 'mentioned', 'subscribed', 'committed', 'committed', 'commented', 'mentioned', 'subscribed', 'merged', 'closed')",1
"('committed', 'committed', 'committed', 'created', 'commented', 'cross_referenced', 'assigned', 'labeled', 'reviewed', 'labeled', 'unlabeled', 'reviewed', 'merged', 'closed')",1
"('committed', 'committed', 'committed', 'created', 'commented', 'cross_referenced', 'review_requested', 'reviewed', 'merged', 'closed', 'head_ref_deleted', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'created', 'commented', 'merged', 'closed')",1
"('committed', 'committed', 'committed', 'created', 'commented', 'ready_for_review', 'review_requested', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'created', 'commented', 'reviewed', 'committed', 'review_requested', 'reviewed', 'commented', 'commented', 'commented', 'merged', 'closed', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'created', 'commented', 'reviewed', 'labeled', 'commented', 'mentioned', 'subscribed', 'commented', 'labeled', 'unlabeled', 'commented', 'reviewed', 'unlabeled', 'labeled', 'committed', 'committed', 'labeled', 'unlabeled', 'reviewed', 'cross_referenced', 'commented', 'commented', 'closed')",1
"('committed', 'committed', 'committed', 'created', 'commented', 'reviewed', 'merged', 'closed', 'commented')",1
"('committed', 'committed', 'committed', 'created', 'commented', 'reviewed', 'merged', 'closed', 'commented', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'created', 'committed', 'commented', 'commented', 'mentioned', 'subscribed', 'mentioned', 'subscribed', 'labeled', 'commented', 'commented', 'commented', 'mentioned', 'subscribed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'closed', 'head_ref_deleted', 'commented', 'mentioned', 'subscribed', 'mentioned', 'subscribed')",1
"('committed', 'committed', 'committed', 'created', 'committed', 'commented', 'committed', 'committed', 'committed', 'commented', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'commented', 'mentioned', 'subscribed', 'mentioned', 'subscribed', 'reviewed', 'reviewed', 'review_requested', 'review_requested', 'committed', 'reviewed', 'commented', 'mentioned', 'subscribed', 'committed', 'committed', 'reviewed', 'committed', 'commented', 'mentioned', 'subscribed', 'committed', 'committed', 'committed', 'reviewed', 'review_requested', 'committed', 'reviewed', 'merged', 'closed', 'cross_referenced', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'created', 'committed', 'review_requested', 'merged', 'closed', 'commented')",1
